CUSTNAME,CITY,CREDITCARD_TYPE,CUST_ID,ORDER_ID,ORDER_SALESMAN,T_TYPE,PURCHASE_TOUCHPOINT,PURCHASE_STATUS,ORDER_TYPE,GENERATION,Dinosaur Planet,Isle of Man TT 2004 Review,Character,Paula Abduls Get Up & Dance,The Rise and Fall of ECW,Sick,8 Man,What the Do We Know!?,The Rings,Class of Nuke Em High 2,,Fighter,Full Frame Documentary Shorts,My Favorite Brunette,Lord of the Rings The Return of the King Extended Edition Bonus Material,Nature Antarctica,Neil Diamond Greatest Hits Live,Screamers,7 Seconds,Immortal Beloved,By Dawns Early Light,Seeta Aur Geeta,Strange Relations,Chump Change,Clifford Clifford Saves the Day! / Cliffords Fluffiest Friend Cleo,My Bloody Valentine,Inspector Morse 31 Death Is Now My Neighbour,Never Die Alone,Sesame Street Elmos World The Street We Live On
Sharon Israel       ,Marano Equo,American Express,11876,8265,SE265 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grace Garcia        ,Marcelli,Diners Club,11880,1910,SC262 ,Complete,Desktop,Frequent,MediumValue,Baby_Boomers,,,,2,2,,,,,,,3,,,,,,4,,,,,,,,,,,
Pedro Lewis         ,Marignane,American Express,11884,1238,NW247 ,In-Progress,Phone,Occasional,LowValue,Gen_X,,,,,,,5,,,,,,,5,,,,,,,,,,,3,,,5,
Pedro Lewis         ,Marignane,American Express,11884,4317,NE106 ,Complete,Phone,Occasional,LowValue,Gen_X,5,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Pedro Lewis         ,Marignane,American Express,11884,5175,NE367 ,In-Progress,Phone,Occasional,LowValue,Gen_X,,,,,,3,,,,,,3,,,,,4,,,5,,,,,,,,,
Pedro Lewis         ,Marignane,American Express,11884,7126,WE157 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,2,,,,4,,,,,,,,,,,,,,,,,4,4,
Rochelle James      ,Marktredwitz,American Express,11888,1729,SE205 ,Complete,Desktop,FirstTime,HighValue,Gen_Z,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,4,
Joan Dewitt         ,Marrickville,JCB,11892,5474,NW316 ,Complete,Phone,Occasional,LowValue,Gen_Z,,,,,4,,,,,,,,,,,,,3,,3,,,,,,,,4,
Jon Bourne          ,Marseille,Discover,11896,6471,NC100 ,Cancelled,Desktop,Frequent,MediumValue,Baby_Boomers,,,4,,4,4,,4,,,,,,4,,,,,,,,5,,,,,,,
Mary Garcia         ,Marseille,JCB,11900,7183,SW343 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,4,,,,,,,,,,,,,,,,,5,,,,,,,,4,
Jeff Newsome        ,Marseille,VISA,11904,5070,SC391 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,,,,,,,,,,,,,4,,3,,,,,,,,,
Jeff Newsome        ,Marseille,VISA,11904,5748,WE421 ,In-Progress,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,5,,,,,,,,,,,,3,,4,,,,,,,,,
Jeff Newsome        ,Marseille,VISA,11904,6116,SW214 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,1,3,,,,,,,,,,,,,,2,,,,,,,,4,3
Jeff Newsome        ,Marseille,VISA,11904,7487,WE220 ,Abandoned,Desktop,Frequent,HighValue,Baby_Boomers,,,3,,,5,,,,,,,,,,,,,,,2,,,,,,,4,
Jeff Newsome        ,Marseille,VISA,11904,7639,WE289 ,Cancelled,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,5,,3,,,,,,4,,,4,,,4,4,,,,,,,,
Jeff Newsome        ,Marseille,VISA,11904,8432,SE334 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,,,,,,,,,3,,,,,,5,,,,,,,,4,
Felipa Smith        ,Martinsville,VISA,11912,286,SC388 ,Complete,Phone,FirstTime,HighValue,Gen_Y,,,,,,2,,,,,,,,,,,,,,,,,,,,,,4,
Felipa Smith        ,Martinsville,VISA,11912,4877,NC100 ,Cancelled,Phone,FirstTime,MediumValue,Gen_Y,,,,,,4,,,,,,,,3,,,,,,,,,,,,,,5,
Jillian Post        ,Masate,Discover,11916,640,SC322 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Jillian Post        ,Masate,Discover,11916,3567,WE421 ,Complete,Phone,Occasional,LowValue,Gen_X,,3,,4,3,3,,,,,,,,,4,4,,,,,2,3,,,,,4,3,
Jillian Post        ,Masate,Discover,11916,4228,WE349 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,4,,,,4,,,,3,,,,,,,,3,,,,3,,,,
Jillian Post        ,Masate,Discover,11916,6182,SC391 ,Abandoned,Phone,Occasional,LowValue,Gen_X,,,,,2,3,,,,,,,,,,,2,,,,4,,,,,,,4,2
Jillian Post        ,Masate,Discover,11916,8139,NE241 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,4,,,,,,,,,,,,4,,,,,,,,,,4,
Georgia Langford    ,Massanassa,VISA,11920,8949,NW184 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,4,,1,1,,,,,,,,,,,,,,4,,,,,,,,5,
Jonathan Gibson     ,Massello,JCB,11924,2454,SC130 ,Abandoned,Desktop,Frequent,MediumValue,Baby_Boomers,,,,,3,,,,,,,,,,,4,3,,,4,,,,,,,,,
Jonathan Gibson     ,Massello,JCB,11924,3290,SE403 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Gibson     ,Massello,JCB,11924,8110,SW406 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
Diana Hamilton      ,Matet,American Express,11928,950,NE241 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,,,,5,,,,,,,,,,,,,,,,,,3,2,
Diana Hamilton      ,Matet,American Express,11928,4218,SW217 ,In-Progress,Phone,Occasional,LowValue,Gen_Y,,,,,,4,,,,,,,,,,3,3,,,5,,,,,,,,3,
Mary Perez          ,Maubeuge,Diners Club,11932,6045,NW184 ,Complete,Phone,Occasional,LowValue,Gen_X,4,,,,3,,,,,,3,,,,,,,,,3,,,,,,,,5,2
Aimee Mcbride       ,Maybole,Diners Club,11936,4352,NC232 ,Complete,Phone,Occasional,LowValue,Gen_Y,,4,,,,3,,4,4,,4,4,4,3,,4,4,4,,5,3,,,,,,,,
Aimee Mcbride       ,Maybole,Diners Club,11936,8068,WE289 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,
Bernice Bailey      ,Mazaricos,Discover,11940,5365,NE304 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,4,,,,,,,,4,,,,,,,,,,,,,,3,
Bernice Bailey      ,Mazaricos,Discover,11940,9266,NC292 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,4,,,,,,,,,,2,,,,5,3,,,,,,,,
Mary Livingston     ,Mcdesme,Discover,11944,5776,NC232 ,Complete,Phone,FirstTime,MediumValue,Gen_Z,,,,,3,3,,,,,2,,,,,,3,3,,,,,,,,,,5,
Jamie Harris        ,Meadville,American Express,11948,7679,SW277 ,Complete,Phone,FirstTime,MediumValue,Gen_Y,,,,,,5,,,,,,,,,,,,,,,,5,,,,,,,
Kayla Barragan      ,Meenaar,VISA,11952,2813,NC358 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,4,,,,,,,,5,,,3,,,4,4,,,,,,,5,
Kayla Barragan      ,Meenaar,VISA,11952,3292,NC358 ,Complete,Phone,Occasional,LowValue,Gen_X,,,3,,3,5,,2,,,,,,4,,,,,,,5,,,,4,,,,
Kayla Barragan      ,Meenaar,VISA,11952,3519,NW244 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,4,,,,,,,,,,,,,5,,3,,,,,,,,4,
Kayla Barragan      ,Meenaar,VISA,11952,8558,WE154 ,Abandoned,Phone,Occasional,LowValue,Gen_X,,,,,4,,,,,,,,,,,1,4,,,,,,,,,,,5,
Kayla Barragan      ,Meenaar,VISA,11952,8700,SE271 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,4,,,,,,,,,,,,,,,,3,,,,,,,2,
Yvette Mosley       ,Melville,VISA,11956,2262,SC196 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,,,,,,,,,,,,,,,4,,,,,,,,5,
Yvette Mosley       ,Melville,VISA,11956,8618,NW118 ,In-Progress,Phone,Occasional,LowValue,Gen_Y,,,,,3,4,,,,,,,,3,,,,,,,,,,,,,,4,
Diane Mcgee         ,Memphis,VISA,11960,1657,WE421 ,In-Progress,Phone,Frequent,HighValue,Gen_Z,,,,,5,,,,,,,,,,,4,,,,,,,,,,,,,
Diane Mcgee         ,Memphis,VISA,11960,6843,NW382 ,Complete,Phone,Frequent,HighValue,Gen_Z,,,,,,,,,,,,,,,,,4,,,4,,4,,,,,,2,
Diane Mcgee         ,Memphis,VISA,11960,8901,NC160 ,Cancelled,Phone,Frequent,LowValue,Gen_Z,,,,,3,5,,,,,,4,,,,,,,,,,,,,3,,3,,
Linda Moore         ,Menard,Diners Club,11964,7794,WE157 ,Abandoned,Phone,Occasional,LowValue,Gen_X,,,,,,,3,,,,,,,,,,,,,3,,,,,,,,4,
Linda Moore         ,Menard,Diners Club,11964,8638,SW412 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,3,5,,,,,,,,,,,,,4,,,,,,,,4,
Sandra Baggett      ,Meran Sinich,JCB,11968,4141,SC196 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,3,,,2,,,,,,,,,,,,,,,,,3,,,,,4,
Sandra Baggett      ,Meran Sinich,JCB,11968,5400,WE223 ,Complete,Desktop,Frequent,MediumValue,Baby_Boomers,,,,,,3,,,,,4,,,,,,,,,,,,,,,,,,
Sandra Baggett      ,Meran Sinich,JCB,11968,6913,WE418 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,3,,2,,,,3,,3,,,,,,,,,,3,,,,,,,4,
Karl Chandler       ,Merinda,Discover,11972,3113,SC124 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,,3,5,,,,,,,,,,,,,,,,,,,3,,,,
Karl Chandler       ,Merinda,Discover,11972,4015,NC295 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,,3,4,,,,5,,,,,,,,,,,,,,,,,,4,
Karl Chandler       ,Merinda,Discover,11972,5679,WE349 ,In-Progress,Phone,Occasional,LowValue,Baby_Boomers,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Karl Chandler       ,Merinda,Discover,11972,5945,NC424 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,,,,,,,,5,,,,,,,4,,4,,,,,,,,,
Margaret Williams   ,Merschbach,JCB,11976,514,NC169 ,Cancelled,Phone,Occasional,LowValue,Gen_Y,,,,2,,,,,,,,,,,,4,,4,,,,,,,,,,,
Margaret Williams   ,Merschbach,JCB,11976,906,NW187 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Margaret Williams   ,Merschbach,JCB,11976,1539,WE151 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
Margaret Williams   ,Merschbach,JCB,11976,4784,SE202 ,Cancelled,Phone,Occasional,LowValue,Gen_Y,,,,,,5,,,,,,3,,,,,,,,,,,,,,,,,
Jesus Bandy         ,Messina,JCB,11980,9313,NW376 ,Cancelled,Desktop,Occasional,LowValue,Gen_Z,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4,
Perry Gaylord       ,Metropolis,Diners Club,11984,2719,SE133 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,3,
Jacqueline Velez    ,Miami,Discover,11996,697,WE286 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,3,,,3,,,,4,,,,3,,,,,,,,,3,,,,,3,
Chana White         ,Middlebury,American Express,12000,551,NE370 ,Complete,Phone,FirstTime,MediumValue,Gen_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5
Chana White         ,Middlebury,American Express,12000,1585,WE154 ,Complete,Phone,FirstTime,LowValue,Gen_Z,,,,,,4,,,,,,,,,4,,,,,,,,,,,5,,,
Chana White         ,Middlebury,American Express,12000,2969,WE157 ,Complete,Desktop,FirstTime,LowValue,Gen_Z,,,,,3,,,,3,,,,,3,,2,,2,,,,,,,,,,5,4
Chana White         ,Middlebury,American Express,12000,5644,NC160 ,Cancelled,Desktop,FirstTime,HighValue,Gen_Z,,,,,5,4,,,,,,5,,,,,,,,4,,,,,4,,,4,
Chana White         ,Middlebury,American Express,12000,8214,SE265 ,Complete,Phone,FirstTime,MediumValue,Gen_Z,4,,,,,3,,,,,,,,,,,,,,,,,,,,,3,,
Adrian Holder       ,Mielkendorf,Discover,12004,4290,NC292 ,Cancelled,Desktop,Occasional,HighValue,Baby_Boomers,,,,,,4,,,,,,,,,,,,3,,3,,,,,,,,5,
Adrian Holder       ,Mielkendorf,Discover,12004,8324,SC130 ,Complete,Desktop,Occasional,MediumValue,Baby_Boomers,,,,,3,3,,,,,,,,,,,1,,,,,,,,,,,2,
Adrian Holder       ,Mielkendorf,Discover,12004,8585,SC322 ,Abandoned,Desktop,Occasional,MediumValue,Baby_Boomers,,,4,,,4,,,,,,,,1,,,,,5,1,,,1,,,,1,5,
Connie Hodgdon      ,MILEBUSH,Discover,12008,598,NE238 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,3,3,,,,,,,,,,,4,3,,,5,,,,,,,,
Connie Hodgdon      ,MILEBUSH,Discover,12008,1172,NW115 ,Complete,Desktop,Frequent,MediumValue,Baby_Boomers,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
Connie Hodgdon      ,MILEBUSH,Discover,12008,2552,WE286 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,4,,,,,,,,,,,,,,,5,,,,,,,,5,3
Connie Hodgdon      ,MILEBUSH,Discover,12008,4534,SW412 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,4,4,,,,,,,,,3,,,,,,,,,,,,,,
Connie Hodgdon      ,MILEBUSH,Discover,12008,5823,SE397 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
Connie Hodgdon      ,MILEBUSH,Discover,12008,7227,SE337 ,Cancelled,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,,,,,,,,,,,,,,,4,,,,,,,,5,
Connie Hodgdon      ,MILEBUSH,Discover,12008,8916,SC325 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,3,,,,,,,3,,,,,4,,,,,,,,,,,
Ismael Paul         ,Milnesand,Diners Club,12012,181,WE220 ,Cancelled,Phone,Occasional,LowValue,Baby_Boomers,4,,4,,,1,,,,,,,,,3,,,,,,,,,,,,,5,
Ismael Paul         ,Milnesand,Diners Club,12012,8742,WE289 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,,3,4,,,,,,,,4,,,,,,,,,,,,,,,
Stacy Burton        ,Milwaukee,Diners Club,12016,4068,WE349 ,Cancelled,Phone,Occasional,LowValue,Gen_Y,,3,,,,4,,,,,,,,,,,4,,,5,,,,,,,,,
Stacy Burton        ,Milwaukee,Diners Club,12016,8938,WE151 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Kathleen Wong       ,Minneapolis,Diners Club,12020,6191,SW340 ,Complete,Desktop,Frequent,MediumValue,Baby_Boomers,3,4,,,,3,,,,,,,,,,4,4,5,,,,,,,,,,,
Kathleen Wong       ,Minneapolis,Diners Club,12020,8128,RP319 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,,,,,,,,,4,,,,,,2,,,,,,,,5,
Jody Wilson         ,Mission,Discover,12028,7940,NW250 ,Cancelled,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,4,,,,,,,,,,,1,,,,,,,,,,,,
Jody Wilson         ,Mission,Discover,12028,9179,NC292 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,2,,,,4,,,,,,,,,,,3,4,,4,3,,,,,,,,
Kimberly Delgado    ,Moeche,American Express,12036,6967,NE172 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,3,
Kimberly Delgado    ,Moeche,American Express,12036,7029,NC364 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,,,,,,,,,,,,4,,,,,,,,4,,,,,,
Kimberly Delgado    ,Moeche,American Express,12036,8902,NC427 ,In-Progress,Phone,Occasional,LowValue,Baby_Boomers,,,,,,2,,5,,,,,,,,,,,,,3,,,,,,,,
Michael Fleming     ,Mombasiglio,Discover,12040,103,NW379 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,3,,,,3,4,,,,,,,,,5,,,,,,,,,,,,,,
Michael Fleming     ,Mombasiglio,Discover,12040,6675,RP121 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,1,,,4,,,,5,,,,,,,,,,4,,5,,,,,5,3,2
Melissa Davis       ,Monroe,JCB,12048,4622,NW382 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,,,3,5,,,,,,,,,,,4,,,,,,,,,,5,
Melissa Davis       ,Monroe,JCB,12048,4585,SC196 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,,,4,,,,,,,,,,,3,,,4,,,,,,,,,
Melissa Davis       ,Monroe,JCB,12048,5953,NC358 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissa Davis       ,Monroe,JCB,12048,6811,NE241 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,,,,5,3,,,,,,4,,,,3,,4,,,,,,,,5,
Melissa Davis       ,Monroe,JCB,12048,8705,NW310 ,Abandoned,Phone,Occasional,LowValue,Baby_Boomers,4,,,,4,5,,,,,,,,,,,,,,,3,,,,,,,,
Ruth Kelsey         ,Montemar,Discover,12052,980,SW145 ,In-Progress,Desktop,Frequent,HighValue,Baby_Boomers,,,,,4,3,,,4,,3,,,2,,,,,,,,,,,4,,,,
Ruth Kelsey         ,Montemar,Discover,12052,6657,SE265 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,,,,,,,3,,,,,,,,,3,,,,,,,,
Ruth Kelsey         ,Montemar,Discover,12052,7865,SC130 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,3,,,,4,,,,,,,,,4,,3,,,,,,,,4,
Stephen Spicer      ,Montagna,Discover,12056,1165,NW115 ,Complete,Desktop,Occasional,HighValue,Baby_Boomers,,,,,,2,,,,,,,,4,,,,,,3,,,4,,,,,4,1
Stephen Spicer      ,Montagna,Discover,12056,5283,SW142 ,Complete,Desktop,Occasional,HighValue,Baby_Boomers,,,,,,4,,,,3,,,,,4,2,,,,,,,,,,5,,,
Stephen Spicer      ,Montagna,Discover,12056,6671,NE106 ,Complete,Desktop,Occasional,LowValue,Baby_Boomers,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
Jeffrey Moye        ,Montaldeo,JCB,12060,4904,WE289 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,3,4,,3,,,,,,4,,,,,,,,5,,,4,,4,,
Jeffrey Moye        ,Montaldeo,JCB,12060,5047,NW382 ,In-Progress,Phone,Occasional,LowValue,Gen_X,,,4,,,,,,,,,,,,,,,3,5,4,,,,,,,,5,
Jeffrey Moye        ,Montaldeo,JCB,12060,6766,SE139 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,5,,,,,,,,,,,,,,3,,,,,,5,,,
Jeffrey Moye        ,Montaldeo,JCB,12060,8710,SW277 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,2,5,,,,4,,,,,,3,,,,,,,,,,,,5,
Joelle Jensen       ,Montbard,Diners Club,12064,166,NE106 ,Complete,Phone,Frequent,LowValue,Gen_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joelle Jensen       ,Montbard,Diners Club,12064,5982,NC424 ,Cancelled,Desktop,Frequent,LowValue,Gen_Z,,,,,,4,,,,,,,,4,,,,,,,,,,,,,,,
Joelle Jensen       ,Montbard,Diners Club,12064,6580,WE349 ,Complete,Desktop,Frequent,HighValue,Gen_Z,,,,,4,,,,,,,,,,,,2,,,2,4,,,,,,,4,4
Joelle Jensen       ,Montbard,Diners Club,12064,8523,NW187 ,Complete,Phone,Frequent,HighValue,Gen_Z,,,,,3,3,,,,,,,,,,4,,,,,,,,,,,,,
Gertrude Lloyd      ,Monte Petrosu,VISA,12068,1474,WE157 ,Complete,Phone,Frequent,MediumValue,Gen_Z,,,,,,,,,,,,,,,,4,,,,,,,,,,,,2,
Gertrude Lloyd      ,Monte Petrosu,VISA,12068,3107,SE334 ,Abandoned,Desktop,Frequent,MediumValue,Gen_Z,,,,,,4,,,,,,,,5,,,,,,,,,,,,,,4,
Melvin Benson       ,Monteleone Di Fermo,American Express,12072,1375,SE202 ,Cancelled,Phone,Occasional,LowValue,Gen_Y,4,,,,,,,,,,,,,,,,3,,,,,,,,,,,5,
Melvin Benson       ,Monteleone Di Fermo,American Express,12072,2741,WE286 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,,,,,,,,,,,,,,,,,,4,,,,,4,3
Melvin Benson       ,Monteleone Di Fermo,American Express,12072,6412,SC325 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,3,,,,,,,,,4,,,,,,3,,,,,4,,5,
Christopher Christia,Monteombraro,Diners Club,12076,378,SC124 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,4,,,,,,,,3,,,,,,5,,,,,,,,,
Christopher Christia,Monteombraro,Diners Club,12076,3603,NC163 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
Christopher Christia,Monteombraro,Diners Club,12076,9092,WE283 ,Abandoned,Phone,Occasional,LowValue,Gen_X,,,,,,,,,,,,,,,,,,,4,,,,,,,,,4,
James Franklin      ,Monticello,American Express,12088,1671,SW145 ,Complete,Phone,Frequent,MediumValue,Gen_Z,,,,,4,4,,,,,,,,,,,4,,,4,4,,,,3,,,,4
James Franklin      ,Monticello,American Express,12088,1862,RP385 ,Complete,Phone,Frequent,LowValue,Gen_Z,,,,,,3,,,,,,,,,,,,,,,,,,,,,,4,
James Franklin      ,Monticello,American Express,12088,4943,SC391 ,Complete,Phone,Frequent,MediumValue,Gen_Z,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,
James Franklin      ,Monticello,American Express,12088,6978,NW247 ,In-Progress,Phone,Frequent,MediumValue,Gen_Z,5,,,,5,4,5,,,,,,,,,,,2,,4,,,,,,,,4,4
James Franklin      ,Monticello,American Express,12088,7944,SC322 ,Complete,Phone,Frequent,LowValue,Gen_Z,,,,,3,,,3,,,,3,,,,,,,,3,,,,,,,,3,
Brenda Jensen       ,Montorsaio,JCB,12092,645,NE103 ,Complete,Desktop,Frequent,MediumValue,Baby_Boomers,,,,,,,,,,,,2,,,,,,,,4,,,,,,,,3,
Brenda Jensen       ,Montorsaio,JCB,12092,963,WE151 ,In-Progress,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,4,,2,,,,,,5,,4,,,,4,1,,,,3,,,4,
Brenda Jensen       ,Montorsaio,JCB,12092,5952,SC199 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brenda Jensen       ,Montorsaio,JCB,12092,9037,SE400 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,2,,,,,,,,,,,4,,,,,,,,,,,4,
Eleanor Rowe        ,Montreal,JCB,12096,186,WE286 ,Cancelled,Phone,Occasional,LowValue,Gen_Z,,,,,,4,,3,4,,,,,,,,3,,,,,,,,,4,,3,4
Eleanor Rowe        ,Montreal,JCB,12096,7642,NW382 ,Complete,Phone,Occasional,HighValue,Gen_Z,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
Eleanor Rowe        ,Montreal,JCB,12096,8951,SE136 ,Abandoned,Phone,Occasional,LowValue,Gen_Z,,,,,,,,,,,,3,,,,,,4,,2,,,,,,,,1,
Percy Stadler       ,Montresta,Master Card,12100,597,WE283 ,Complete,Phone,Occasional,HighValue,Gen_Y,,,,,3,,5,,,,4,3,,,,,,,,,,,,,,,,,4
Percy Stadler       ,Montresta,Master Card,12100,5212,SE265 ,Complete,Desktop,Occasional,MediumValue,Gen_Y,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,3
Percy Stadler       ,Montresta,Master Card,12100,8706,SE400 ,Cancelled,Phone,Occasional,LowValue,Gen_Y,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,5,
Marlene Cooper      ,Monzone,Discover,12104,5313,SC127 ,Complete,Desktop,Frequent,MediumValue,Gen_Y,,2,,1,,2,,,,,,2,,2,,4,,,,,,,,,,,,,
Marlene Cooper      ,Monzone,Discover,12104,7677,SE133 ,Complete,Phone,Frequent,LowValue,Gen_Y,3,,,,5,5,,,,,5,,,,,4,5,,,,,,,,,4,,4,
Marlene Cooper      ,Monzone,Discover,12104,8393,RP253 ,Complete,Desktop,Frequent,HighValue,Gen_Y,4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Douglas Cobbins     ,Morawa,Master Card,12108,1021,RP319 ,Cancelled,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,,,,4,,,1,,,,,,,,,,,,,3,,,,
Mark Steele         ,Morgantown,Discover,12112,4075,NE109 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,5,,,,,,,,3,4,3,,,,,,,,,3,,,,
Mark Steele         ,Morgantown,Discover,12112,7087,NW376 ,Cancelled,Phone,Occasional,LowValue,Gen_X,,,,,4,1,,,5,,3,3,3,3,,1,,4,,3,1,,,,,,,,
Mark Steele         ,Morgantown,Discover,12112,7176,NW244 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,5,,,,,4,,,,,,,,,3,,,,,,,,5,
Mark Steele         ,Morgantown,Discover,12112,7426,NW244 ,Complete,Phone,Occasional,LowValue,Gen_X,3,,,,4,3,,,2,,,3,,,,,,,,,,3,,,,,,,
Jay Barton          ,Morning Bay,Diners Club,12116,38,SW277 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,
Jay Barton          ,Morning Bay,Diners Club,12116,275,NE103 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,,,4,,,,,,2,,,,,,,,,,,,,,,
Jay Barton          ,Morning Bay,Diners Club,12116,5997,SC130 ,Complete,Phone,Occasional,LowValue,Gen_X,1,,,,,,,,,,,,,,,,,,,4,,,4,4,3,,,3,
Jay Barton          ,Morning Bay,Diners Club,12116,6363,SE271 ,Cancelled,Phone,Occasional,LowValue,Gen_X,,,,,3,4,,,5,,,,,,,,,,,,,,,,3,,,,
Michael Sanders     ,Morrisville,American Express,12124,1929,NW379 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
Michael Sanders     ,Morrisville,American Express,12124,6642,WE415 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
Barbara Schofield   ,Mount Airy,JCB,12128,368,SE136 ,In-Progress,Phone,Occasional,LowValue,Gen_Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
